;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pig iron;USD/t;;;188;296;260;235;320;387;365;344;374;410;412;386;368;361;360;311;341;332;335;392;548;606;608;545;;396;269;188;229;239;239;320;354;361;355;374;390;395;392;368;362;362;337;341;336;336;352;548;595;603;584;;;;;;;;;;;;;;;;;;;
;;;Slabs;USD/t;;;278;365;420;404;446;484;467;539;562;569;572;514;475;524;485;429;446;385;387;453;542;709;844;727;;603;399;278;308;344;360;446;463;465;491;562;566;568;549;475;492;490;477;446;410;402;410;542;641;714;717;;;;;;;;;;;;;;;;;;;
;;;Hot-rolled steel;USD/t;;;289;377;447;461;528;487;498;576;611;622;587;553;528;568;568;506;509;433;436;515;697;928;918;812;;543;406;289;329;370;388;528;506;503;520;611;617;607;594;528;546;553;541;509;468;457;472;697;806;843;834;;;;;;;;;;;;;;;;;;;
;;;Other metal products**;USD/t;;;;;;;;;;;;;;;;;;;;;;;;;969;215;;;;;;;;;;;;;;;;;;;;;;;;;;969;825;;;;;;;;;;;;;;;;;;;
;;;High value added products;USD/t;;;539;605;655;658;722;719;713;772;806;822;813;794;745;777;757;699;646;658;643;702;898;1 151;1 300;1 128;;789;660;539;575;603;616;722;720;718;731;806;815;814;809;745;761;760;745;646;651;649;662;898;1 023;1 105;1 111;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;* Revenue per tonne includes all transportation expenses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PROFIT AND LOSS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
